"ImageNumber","plate","well","gene","puro","Image_FileNames_Filename_OrigDNA","Image_PathNames_Path_OrigDNA"
273,1,69,"Gpr12",1,"AS_09125_050116000001_C21f00d0.png","images"
274,1,69,"Gpr12",1,"AS_09125_050116000001_C21f01d0.png","images"
275,1,69,"Gpr12",1,"AS_09125_050116000001_C21f02d0.png","images"
276,1,69,"Gpr12",1,"AS_09125_050116000001_C21f03d0.png","images"
277,1,70,"TEC",1,"AS_09125_050116000001_C22f00d0.png","images"
278,1,70,"TEC",1,"AS_09125_050116000001_C22f01d0.png","images"
279,1,70,"TEC",1,"AS_09125_050116000001_C22f02d0.png","images"
280,1,70,"TEC",1,"AS_09125_050116000001_C22f03d0.png","images"
281,1,71,"Gpr12",1,"AS_09125_050116000001_C23f00d0.png","images"
282,1,71,"Gpr12",1,"AS_09125_050116000001_C23f01d0.png","images"
283,1,71,"Gpr12",1,"AS_09125_050116000001_C23f02d0.png","images"
284,1,71,"Gpr12",1,"AS_09125_050116000001_C23f03d0.png","images"
285,1,72,"TEC",1,"AS_09125_050116000001_C24f00d0.png","images"
286,1,72,"TEC",1,"AS_09125_050116000001_C24f01d0.png","images"
287,1,72,"TEC",1,"AS_09125_050116000001_C24f02d0.png","images"
288,1,72,"TEC",1,"AS_09125_050116000001_C24f03d0.png","images"
289,1,73,"PHKG2",1,"AS_09125_050116000001_D01f00d0.png","images"
290,1,73,"PHKG2",1,"AS_09125_050116000001_D01f01d0.png","images"
291,1,73,"PHKG2",1,"AS_09125_050116000001_D01f02d0.png","images"
292,1,73,"PHKG2",1,"AS_09125_050116000001_D01f03d0.png","images"
293,1,74,"PIP5K1A",1,"AS_09125_050116000001_D02f00d0.png","images"
294,1,74,"PIP5K1A",1,"AS_09125_050116000001_D02f01d0.png","images"
295,1,74,"PIP5K1A",1,"AS_09125_050116000001_D02f02d0.png","images"
296,1,74,"PIP5K1A",1,"AS_09125_050116000001_D02f03d0.png","images"
297,1,75,"PHKG2",1,"AS_09125_050116000001_D03f00d0.png","images"
298,1,75,"PHKG2",1,"AS_09125_050116000001_D03f01d0.png","images"
299,1,75,"PHKG2",1,"AS_09125_050116000001_D03f02d0.png","images"
300,1,75,"PHKG2",1,"AS_09125_050116000001_D03f03d0.png","images"
301,1,76,"PIP5K1A",1,"AS_09125_050116000001_D04f00d0.png","images"
302,1,76,"PIP5K1A",1,"AS_09125_050116000001_D04f01d0.png","images"
303,1,76,"PIP5K1A",1,"AS_09125_050116000001_D04f02d0.png","images"
304,1,76,"PIP5K1A",1,"AS_09125_050116000001_D04f03d0.png","images"
305,1,77,"PHKG2",1,"AS_09125_050116000001_D05f00d0.png","images"
306,1,77,"PHKG2",1,"AS_09125_050116000001_D05f01d0.png","images"
307,1,77,"PHKG2",1,"AS_09125_050116000001_D05f02d0.png","images"
308,1,77,"PHKG2",1,"AS_09125_050116000001_D05f03d0.png","images"
309,1,78,"PIP5K1A",1,"AS_09125_050116000001_D06f00d0.png","images"
310,1,78,"PIP5K1A",1,"AS_09125_050116000001_D06f01d0.png","images"
311,1,78,"PIP5K1A",1,"AS_09125_050116000001_D06f02d0.png","images"
312,1,78,"PIP5K1A",1,"AS_09125_050116000001_D06f03d0.png","images"
313,1,79,"MVK",1,"AS_09125_050116000001_D07f00d0.png","images"
314,1,79,"MVK",1,"AS_09125_050116000001_D07f01d0.png","images"
315,1,79,"MVK",1,"AS_09125_050116000001_D07f02d0.png","images"
316,1,79,"MVK",1,"AS_09125_050116000001_D07f03d0.png","images"
317,1,80,"PDXK",1,"AS_09125_050116000001_D08f00d0.png","images"
318,1,80,"PDXK",1,"AS_09125_050116000001_D08f01d0.png","images"
319,1,80,"PDXK",1,"AS_09125_050116000001_D08f02d0.png","images"
320,1,80,"PDXK",1,"AS_09125_050116000001_D08f03d0.png","images"
321,1,81,"MVK",1,"AS_09125_050116000001_D09f00d0.png","images"
322,1,81,"MVK",1,"AS_09125_050116000001_D09f01d0.png","images"
323,1,81,"MVK",1,"AS_09125_050116000001_D09f02d0.png","images"
324,1,81,"MVK",1,"AS_09125_050116000001_D09f03d0.png","images"
325,1,82,"PDXK",1,"AS_09125_050116000001_D10f00d0.png","images"
326,1,82,"PDXK",1,"AS_09125_050116000001_D10f01d0.png","images"
327,1,82,"PDXK",1,"AS_09125_050116000001_D10f02d0.png","images"
328,1,82,"PDXK",1,"AS_09125_050116000001_D10f03d0.png","images"
329,1,83,"MVK",1,"AS_09125_050116000001_D11f00d0.png","images"
330,1,83,"MVK",1,"AS_09125_050116000001_D11f01d0.png","images"
